trial,msg_len,flip_pos,beta,alpha,p_percent
266,128,51,73,56,40.55555555555556
267,128,103,65,64,36.11111111111111
268,128,39,73,62,40.55555555555556
269,128,48,81,65,45.0
270,128,51,71,58,39.44444444444444
271,128,116,69,64,38.333333333333336
272,128,7,70,62,38.88888888888889
273,128,4,73,67,40.55555555555556
274,128,115,72,64,40.0
275,128,18,70,64,38.88888888888889
276,128,89,70,66,38.88888888888889
277,128,5,79,58,43.888888888888886
278,128,107,61,64,33.88888888888889
279,128,86,69,59,38.333333333333336
280,128,59,70,61,38.88888888888889
281,128,16,69,63,38.333333333333336
282,128,46,72,59,40.0
283,128,2,72,56,40.0
284,128,92,66,76,36.666666666666664
285,128,55,68,59,37.77777777777778
286,128,119,80,73,44.44444444444444
287,128,33,79,61,43.888888888888886
288,128,84,77,61,42.77777777777778
289,128,76,74,62,41.11111111111111
290,128,62,68,60,37.77777777777778
291,128,77,74,66,41.11111111111111
292,128,76,82,66,45.55555555555556
293,128,72,64,66,35.55555555555556
294,128,18,78,68,43.333333333333336
295,128,74,70,59,38.88888888888889
296,128,56,73,63,40.55555555555556
297,128,40,73,71,40.55555555555556
298,128,32,71,58,39.44444444444444
299,128,20,64,63,35.55555555555556
300,128,26,66,60,36.666666666666664
301,128,102,78,67,43.333333333333336
302,128,87,72,60,40.0
303,128,80,78,68,43.333333333333336
304,128,103,61,65,33.88888888888889
305,128,14,72,61,40.0
306,128,117,67,57,37.22222222222222
307,128,15,67,64,37.22222222222222
308,128,67,72,57,40.0
309,128,43,75,66,41.66666666666667
310,128,62,64,65,35.55555555555556
311,128,40,68,65,37.77777777777778
312,128,96,72,63,40.0
313,128,69,80,64,44.44444444444444
314,128,118,75,56,41.66666666666667
315,128,40,64,63,35.55555555555556
316,128,8,71,65,39.44444444444444
317,128,57,68,64,37.77777777777778
318,128,13,74,62,41.11111111111111
319,128,37,64,66,35.55555555555556
320,128,23,69,64,38.333333333333336
321,128,80,81,68,45.0
322,128,89,76,66,42.22222222222222
323,128,20,64,55,35.55555555555556
324,128,89,70,65,38.88888888888889
325,128,4,74,70,41.11111111111111
326,128,3,73,67,40.55555555555556
327,128,119,65,62,36.11111111111111
328,128,111,72,59,40.0
329,128,97,72,58,40.0
330,128,71,80,55,44.44444444444444
331,128,19,71,60,39.44444444444444
332,128,68,67,72,37.22222222222222
333,128,8,67,66,37.22222222222222
334,128,19,88,57,48.888888888888886
335,128,23,70,66,38.88888888888889
336,128,84,63,61,35.0
337,128,93,68,72,37.77777777777778
338,128,20,71,58,39.44444444444444
339,128,38,69,59,38.333333333333336
340,128,4,80,60,44.44444444444444
341,128,42,68,68,37.77777777777778
342,128,11,71,68,39.44444444444444
343,128,16,71,60,39.44444444444444
344,128,57,71,75,39.44444444444444
345,128,23,74,70,41.11111111111111
346,128,86,78,64,43.333333333333336
347,128,81,72,54,40.0
348,128,89,78,58,43.333333333333336
349,128,25,80,59,44.44444444444444
350,128,28,80,62,44.44444444444444
351,128,116,72,63,40.0
352,128,30,66,57,36.666666666666664
353,128,75,72,64,40.0
354,128,2,74,64,41.11111111111111
355,128,108,67,63,37.22222222222222
356,128,67,64,61,35.55555555555556
357,128,53,85,66,47.22222222222222
358,128,52,74,64,41.11111111111111
359,128,93,70,71,38.88888888888889
360,128,9,83,61,46.111111111111114
361,128,42,80,68,44.44444444444444
362,128,16,66,60,36.666666666666664
363,128,74,66,65,36.666666666666664
364,128,113,61,68,33.88888888888889
365,128,62,58,59,32.22222222222222
366,128,16,64,63,35.55555555555556
367,128,91,63,65,35.0
368,128,79,71,59,39.44444444444444
369,128,104,70,57,38.88888888888889
370,128,52,72,61,40.0
371,128,14,62,59,34.44444444444444
372,128,4,71,63,39.44444444444444
373,128,49,54,62,30.0
374,128,1,68,62,37.77777777777778
375,128,13,66,60,36.666666666666664
376,128,0,75,58,41.66666666666667
377,128,52,68,60,37.77777777777778
378,128,83,72,67,40.0
379,128,53,62,61,34.44444444444444
380,128,49,78,64,43.333333333333336
381,128,19,69,61,38.333333333333336
382,128,9,72,60,40.0
383,128,117,66,68,36.666666666666664
384,128,31,73,62,40.55555555555556
385,128,24,66,67,36.666666666666664
386,128,62,70,63,38.88888888888889
387,128,40,64,62,35.55555555555556
388,128,27,80,61,44.44444444444444
389,128,33,67,62,37.22222222222222
390,128,46,69,58,38.333333333333336
391,128,35,65,65,36.11111111111111
392,128,75,69,69,38.333333333333336
393,128,58,63,74,35.0
394,128,65,84,62,46.666666666666664
395,128,69,67,63,37.22222222222222
396,128,43,63,65,35.0
397,128,46,72,58,40.0
398,128,106,71,66,39.44444444444444
399,128,45,69,58,38.333333333333336
400,128,71,64,57,35.55555555555556
401,128,71,80,63,44.44444444444444
402,128,69,72,55,40.0
403,128,17,73,59,40.55555555555556
404,128,80,72,65,40.0
405,128,39,80,64,44.44444444444444
406,128,68,75,59,41.66666666666667
407,128,36,64,70,35.55555555555556
408,128,103,68,58,37.77777777777778
409,128,121,73,69,40.55555555555556
410,128,29,92,66,51.11111111111111
411,128,80,71,57,39.44444444444444
412,128,19,66,59,36.666666666666664
413,128,81,68,62,37.77777777777778
414,128,71,80,75,44.44444444444444
415,128,90,71,66,39.44444444444444
416,128,49,77,58,42.77777777777778
417,128,13,75,77,41.66666666666667
418,128,23,76,65,42.22222222222222
419,128,102,65,62,36.11111111111111
420,128,4,69,65,38.333333333333336
421,128,18,80,64,44.44444444444444
422,128,67,65,61,36.11111111111111
423,128,75,61,63,33.88888888888889
424,128,71,89,58,49.44444444444444
425,128,103,68,58,37.77777777777778
426,128,127,70,57,38.88888888888889
427,128,49,71,62,39.44444444444444
428,128,17,65,58,36.11111111111111
429,128,116,72,62,40.0
430,128,22,71,58,39.44444444444444
431,128,23,70,68,38.88888888888889
432,128,91,69,61,38.333333333333336
433,128,126,67,64,37.22222222222222
434,128,102,65,72,36.11111111111111
435,128,19,77,60,42.77777777777778
436,128,37,58,63,32.22222222222222
437,128,107,73,57,40.55555555555556
438,128,125,80,67,44.44444444444444
